"score","method","prop_k","dataset","quantile","value"
"brier",2,40,10,0.995,0.00482695072272727
"brier",2,40,11,0.9,NA
"brier",2,40,11,0.91,NA
"brier",2,40,11,0.92,NA
"brier",2,40,11,0.93,NA
"brier",2,40,11,0.94,NA
"brier",2,40,11,0.95,NA
"brier",2,40,11,0.96,NA
"brier",2,40,11,0.97,NA
"brier",2,40,11,0.98,NA
"brier",2,40,11,0.99,NA
"brier",2,40,11,0.995,NA
"brier",2,40,12,0.9,NA
"brier",2,40,12,0.91,NA
"brier",2,40,12,0.92,NA
"brier",2,40,12,0.93,NA
"brier",2,40,12,0.94,NA
"brier",2,40,12,0.95,NA
"brier",2,40,12,0.96,NA
"brier",2,40,12,0.97,NA
"brier",2,40,12,0.98,NA
"brier",2,40,12,0.99,NA
"brier",2,40,12,0.995,NA
"brier",2,40,13,0.9,NA
"brier",2,40,13,0.91,NA
"brier",2,40,13,0.92,NA
"brier",2,40,13,0.93,NA
"brier",2,40,13,0.94,NA
"brier",2,40,13,0.95,NA
"brier",2,40,13,0.96,NA
"brier",2,40,13,0.97,NA
"brier",2,40,13,0.98,NA
"brier",2,40,13,0.99,NA
"brier",2,40,13,0.995,NA
"brier",2,40,14,0.9,NA
"brier",2,40,14,0.91,NA
"brier",2,40,14,0.92,NA
"brier",2,40,14,0.93,NA
"brier",2,40,14,0.94,NA
"brier",2,40,14,0.95,NA
"brier",2,40,14,0.96,NA
"brier",2,40,14,0.97,NA
"brier",2,40,14,0.98,NA
"brier",2,40,14,0.99,NA
"brier",2,40,14,0.995,NA
"brier",2,40,15,0.9,NA
"brier",2,40,15,0.91,NA
"brier",2,40,15,0.92,NA
"brier",2,40,15,0.93,NA
"brier",2,40,15,0.94,NA
"brier",2,40,15,0.95,NA
"brier",2,40,15,0.96,NA
"brier",2,40,15,0.97,NA
"brier",2,40,15,0.98,NA
"brier",2,40,15,0.99,NA
"brier",2,40,15,0.995,NA
"brier",2,40,16,0.9,NA
"brier",2,40,16,0.91,NA
"brier",2,40,16,0.92,NA
"brier",2,40,16,0.93,NA
"brier",2,40,16,0.94,NA
"brier",2,40,16,0.95,NA
"brier",2,40,16,0.96,NA
"brier",2,40,16,0.97,NA
"brier",2,40,16,0.98,NA
"brier",2,40,16,0.99,NA
"brier",2,40,16,0.995,NA
"brier",2,40,17,0.9,NA
"brier",2,40,17,0.91,NA
"brier",2,40,17,0.92,NA
"brier",2,40,17,0.93,NA
"brier",2,40,17,0.94,NA
"brier",2,40,17,0.95,NA
"brier",2,40,17,0.96,NA
"brier",2,40,17,0.97,NA
"brier",2,40,17,0.98,NA
"brier",2,40,17,0.99,NA
"brier",2,40,17,0.995,NA
"brier",2,40,18,0.9,NA
"brier",2,40,18,0.91,NA
"brier",2,40,18,0.92,NA
"brier",2,40,18,0.93,NA
"brier",2,40,18,0.94,NA
"brier",2,40,18,0.95,NA
"brier",2,40,18,0.96,NA
