"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
7,1,6,3,110,1706,TRUE,FALSE,FALSE,4.30604,14.7899774929187,3.45381923995737,11.8241615004673,1.89069143229485,1.60490490840015,1.17807068967069,0.933582908407541,NA,NA,NA,NA,5.16037367046054,5.28063850063983,18.3542679461498,18.1802486969202,TRUE,TRUE,TRUE,TRUE
7,1,6,4,140,1706,TRUE,FALSE,FALSE,4.55145,15.3549609000129,3.41651375441922,11.6948688782787,1.84560421983426,1.57927655481173,1.16863902918782,0.95355291194128,NA,NA,NA,NA,4.94144372320964,5.13531687100167,18.0004010805566,17.8174163936545,TRUE,TRUE,TRUE,TRUE
7,1,6,5,170,1706,TRUE,FALSE,FALSE,4.29175,15.1420132309037,3.52874263235642,11.7692801883665,1.89425411225791,1.63749931512843,1.15679688825356,0.890998114289907,NA,NA,NA,NA,5.28717380505625,5.49802192358596,18.4536154308074,18.3106365965426,TRUE,TRUE,TRUE,TRUE
7,1,7,1,50,1707,TRUE,FALSE,FALSE,3.11034,12.3935025228064,3.2265941878076,11.5514746177305,1.92595787522915,1.78218828523838,1.08067025868231,0.895443038422848,NA,NA,NA,NA,5.9207142029908,6.05417519484773,17.7657591039072,17.5653103701161,TRUE,TRUE,TRUE,TRUE
7,1,7,2,80,1707,TRUE,FALSE,FALSE,3.426395,14.5967433380053,3.37207280456507,11.7186590428359,2.12279594187247,1.82965632583091,1.1602156710542,0.831120270188915,NA,NA,NA,NA,6.13552056184091,6.20777972110183,18.8768815080652,18.7821194477044,TRUE,TRUE,TRUE,TRUE
7,1,7,3,110,1707,TRUE,FALSE,FALSE,3.211805,15.6782828580919,3.158539097081,11.901402433686,2.31772269525793,1.9788029546626,1.17127513368461,0.795817086503012,NA,NA,NA,NA,6.12348165248293,6.30893243295579,19.2220201828501,19.1803861742849,TRUE,TRUE,TRUE,TRUE
7,1,7,4,140,1707,TRUE,FALSE,FALSE,2.9321,16.0540386755334,3.0697331705555,12.0721933989108,2.4707089002533,2.1243637141326,1.16303478722434,0.787000730125231,NA,NA,NA,NA,6.52235292977032,6.88381742062078,19.656610464805,19.6217088025074,TRUE,TRUE,TRUE,TRUE
7,1,7,5,170,1707,TRUE,FALSE,FALSE,3.252425,17.1396121325899,2.97636949389624,12.3161289697048,2.45522568845739,2.06053650294581,1.19154680586697,0.825036961676346,NA,NA,NA,NA,6.05203407002308,6.23447057700611,19.6237878094598,19.5700505279321,TRUE,TRUE,TRUE,TRUE
7,1,8,1,50,1708,TRUE,FALSE,FALSE,4.510285,12.6164084672646,1.05309725898237,10.6351672067737,1.51500440271745,1.40598529526273,1.07753929420318,0.901157664626453,NA,NA,NA,NA,2.30629353831632,2.33053967337236,12.2306141906216,12.4651404500697,TRUE,TRUE,FALSE,TRUE
7,1,8,2,80,1708,TRUE,FALSE,FALSE,4.495545,14.0984171962701,1.17354021556971,10.3041715890344,1.55480816587884,1.5110550090631,1.02895536995894,0.929878616922838,NA,NA,NA,NA,2.50538637137312,2.55845993187492,12.1288014991894,12.27473294046,TRUE,TRUE,FALSE,TRUE
