"setting","method","dataset","block","seam","seed","hn","ar2_used","ar1_used","a","b","lambda","beta0","zbar","z_pred","z_ratio","sdz_ratio","phi1.z","phi2.z","phi1.tau","phi2.tau","sd_lead1","sd_lead_max","mu_recon","data_mean","A_zconsist","Aprime_sdz","B_truth","C_spread"
5,1,2,1,50,1502,TRUE,FALSE,FALSE,3.78345,15.5892280737654,0.287810737032926,10.0619300402996,1.80655982622394,1.75949559990595,1.02674870361739,0.649409536893801,NA,NA,NA,NA,2.45462825813217,2.46910350056116,10.5818773553792,10.6395981146666,TRUE,TRUE,FALSE,TRUE
5,1,2,2,80,1502,TRUE,FALSE,FALSE,3.76078,11.2537138769583,1.14584130605574,9.76008392845509,1.25618364462206,1.52023650937834,0.826308036198747,0.866435507062882,NA,NA,NA,NA,2.52567229139297,2.59049301231142,11.1994710364547,11.2148392857164,TRUE,TRUE,FALSE,TRUE
5,1,2,3,110,1502,TRUE,FALSE,FALSE,4.213965,12.3098782097632,1.06050283520651,9.80542997760432,1.3014488035346,1.4855095648272,0.876095876020825,0.925715368552917,NA,NA,NA,NA,2.36250229194343,2.40202306816484,11.1856201236289,11.163345170179,TRUE,TRUE,FALSE,TRUE
5,1,2,4,140,1502,TRUE,FALSE,FALSE,4.60274,13.1911488039133,1.28343005383623,9.78047989544784,1.28122614440318,1.45296310402642,0.881802256955238,0.974065970239693,NA,NA,NA,NA,2.48449618844078,2.50105907813299,11.4248440349356,11.4322523629093,TRUE,TRUE,TRUE,TRUE
5,1,2,5,170,1502,TRUE,FALSE,FALSE,4.501465,13.5912378586721,1.89560893648976,9.726166956631,1.43527014555067,1.50149803735486,0.955892122296166,1.31729800942462,NA,NA,NA,NA,3.05801027242628,3.15562393634217,12.4468778708138,12.4260674080363,TRUE,TRUE,TRUE,TRUE
